"gene","rho_median","rho_mean","direction"
"PPP3R1",0.854402413370591,0.854402413370591,"Positive"
"PIN1",0.772695172513684,0.772695172513684,"Positive"
"PRKCG",0.752719526157261,0.752719526157261,"Positive"
"PRKCB",0.576515466564262,0.576515466564262,"Positive"
"MAPK8",0.54122780385648,0.54122780385648,"Positive"
"ALK",0.481938920681002,0.481938920681002,"Positive"
"CAPN2",0.422953040458077,0.422953040458077,"Positive"
"MAPK13",-0.406282851140455,-0.406282851140455,"Negative"
"MAPK1",0.394573893910694,0.394573893910694,"Positive"
"PRKG1",0.391702044866497,0.391702044866497,"Positive"
"PDPK1",-0.385562629343826,-0.385562629343826,"Negative"
"RPS6KA3",-0.375315567928166,-0.375315567928166,"Negative"
"ALPL",0.345155313209612,0.345155313209612,"Positive"
"PRKCZ",-0.334038354412217,-0.334038354412217,"Negative"
"PRKCI",-0.294703972329056,-0.294703972329056,"Negative"
"PPP2R5A",0.270989866224822,0.270989866224822,"Positive"
"PPP1CC",0.256207329334008,0.256207329334008,"Positive"
"PTEN",-0.253682006720457,-0.253682006720457,"Negative"
"DYRK1A",0.251902063671875,0.251902063671875,"Positive"
"MAPK3",0.230161102276758,0.230161102276758,"Positive"
"CAPN3",-0.228085603570028,-0.228085603570028,"Negative"
"GSK3B",-0.227161871991544,-0.227161871991544,"Negative"
"FYN",0.215526570051238,0.215526570051238,"Positive"
"PPP2R1A",0.208289005049902,0.208289005049902,"Positive"
"ABL2",0.205238756727275,0.205238756727275,"Positive"
"MAPK11",0.199646413908696,0.199646413908696,"Positive"
"CSNK1D",0.185033882902792,0.185033882902792,"Positive"
"CAMK2A",0.135958447823508,0.135958447823508,"Positive"
"MAPK14",0.134176318315386,0.134176318315386,"Positive"
"RPS6KB1",-0.128219170148645,-0.128219170148645,"Negative"
"CHEK2",-0.121998350448883,-0.121998350448883,"Negative"
"APOE",-0.0983631157092477,0.0300512641232481,"Negative"
"GSK3A",-0.0982393133054693,-0.0982393133054693,"Negative"
"SYK",-0.0466334729960265,-0.0466334729960265,"Negative"
"CDK5",NA,NA,NA
"ABL1",NA,NA,NA
"MARK2",NA,NA,NA
"MARK1",NA,NA,NA
"CSNK1G1",NA,NA,NA
"PRKACA",NA,NA,NA
"CAPN1",NA,NA,NA
"PPP5C",NA,NA,NA
"CDK5_CDK5R1",NA,NA,NA
"PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3",NA,NA,NA
"MAPK12",NA,NA,NA
"PRKAA1",NA,NA,NA
"TTBK1",NA,NA,NA
"PINK1",NA,NA,NA
"MARCHF7",NA,NA,NA
"TTK",NA,NA,NA
"PHKG1",NA,NA,NA
"NUAK1",NA,NA,NA
"EIF2AK2",NA,NA,NA
"MARK4",NA,NA,NA
"PRKCE",NA,NA,NA
"PKN1",NA,NA,NA
"UBE4B",NA,NA,NA
"PRKCA",NA,NA,NA
"SGK1",NA,NA,NA
"LRRK2",NA,NA,NA
"SRPK2",NA,NA,NA
"PPP1CA",NA,NA,NA
"PPP1CB",NA,NA,NA
"PPP2CA",NA,NA,NA
"PPP2CB",NA,NA,NA
"PPP3CA",NA,NA,NA
"PPP3CB",NA,NA,NA
"PPP3CC",NA,NA,NA
"CDK1",NA,NA,NA
"CDK2",NA,NA,NA
"PHKG2",NA,NA,NA
"PRKACB",NA,NA,NA
"PRKCD",NA,NA,NA
"PRKDC",NA,NA,NA
