"gene","sig_CN","rho_CN","sig_EMCI","rho_EMCI","sig_LMCI","rho_LMCI","sig_AD","rho_AD","n_groups"
"GSK3B",TRUE,-0.353090772112021,TRUE,-0.346188376602498,TRUE,-0.280457844081962,TRUE,-0.260207406097045,4
"PIN1",TRUE,0.657425417911542,TRUE,0.742906913516239,TRUE,0.720197858388126,TRUE,0.798090641927135,4
"PPP3R1",TRUE,0.784980175789673,TRUE,0.835738633158955,TRUE,0.877696873123222,TRUE,0.860441569029679,4
"ALK",TRUE,0.431592715972197,TRUE,0.486909149297371,TRUE,0.541580988603813,TRUE,0.557440751202096,4
"PRKCB",TRUE,0.557033591333654,TRUE,0.633204247691568,TRUE,0.573069932119908,TRUE,0.690745373766401,4
"MAPK13",TRUE,-0.318288223473373,TRUE,-0.477660666015779,TRUE,-0.370161054547325,TRUE,-0.599873836995962,4
"PRKCG",TRUE,0.750421822272216,TRUE,0.79751087955679,TRUE,0.783186015599129,TRUE,0.781426082399611,4
"ALPL",TRUE,0.383940733464747,TRUE,0.497926009853132,TRUE,0.202506056154209,TRUE,0.280516389483055,4
"CAPN2",TRUE,0.538629413111277,TRUE,0.546419513754375,TRUE,0.456029707515739,TRUE,0.44625034518127,4
"PRKCZ",TRUE,-0.291087995203631,TRUE,-0.426349075180437,TRUE,-0.227081102043298,TRUE,-0.439143785518738,4
"APOE",TRUE,0.354511583796233,TRUE,0.291451193519699,TRUE,0.283440690381956,TRUE,0.0318508325479148,4
"MAPK8",TRUE,0.524563609206342,TRUE,0.579884071313939,TRUE,0.427332468143777,TRUE,0.387262428646957,4
"PDPK1",TRUE,-0.431188508905378,TRUE,-0.535363652757873,TRUE,-0.22477105728767,TRUE,-0.450118191752313,4
"PRKG1",TRUE,0.414199675436403,TRUE,0.482006663691713,TRUE,0.239764007251233,TRUE,0.385412214903165,4
"RPS6KA3",TRUE,-0.388808814490288,TRUE,-0.48201603650388,TRUE,-0.300737383956526,TRUE,-0.38543149691447,4
"DYRK1A",TRUE,0.334797783149555,TRUE,0.354875793638805,TRUE,0.302883759046285,FALSE,NA,3
"MAPK11",TRUE,0.319034749765311,TRUE,0.351910020552252,FALSE,NA,TRUE,0.25732628406473,3
"CAPN3",TRUE,-0.308793157757336,TRUE,-0.265202011117369,FALSE,NA,TRUE,-0.272896537442428,3
"PRKCI",TRUE,-0.374798052217366,TRUE,-0.421656023738329,FALSE,NA,TRUE,-0.285388815454059,3
"MAPK1",FALSE,NA,TRUE,0.212122213749364,TRUE,0.472379138145299,TRUE,0.304911565625869,3
"SYK",FALSE,NA,TRUE,NA,TRUE,-0.29791433987731,TRUE,-0.296008118125607,3
"PTEN",FALSE,NA,TRUE,-0.247988159066819,TRUE,-0.255142886857214,TRUE,-0.267711074253764,3
"PPP1CC",FALSE,NA,TRUE,0.21647303880007,TRUE,0.35789010441439,TRUE,0.306701529148754,3
"GSK3A",TRUE,-0.208766601476187,TRUE,-0.218719805114462,FALSE,NA,FALSE,NA,2
"FYN",TRUE,0.215819849733385,TRUE,0.302068755854027,FALSE,NA,FALSE,NA,2
"PPP2R5A",TRUE,0.213999472745947,TRUE,0.297306313594533,FALSE,NA,FALSE,NA,2
"MAPK12",FALSE,NA,TRUE,NA,TRUE,0.222220363376222,FALSE,NA,2
"CSNK1D",FALSE,NA,TRUE,NA,TRUE,0.211801056800145,FALSE,NA,2
"PPP2R1A",FALSE,NA,TRUE,NA,FALSE,NA,TRUE,0.299047735319253,2
"MAPK3",FALSE,NA,TRUE,NA,TRUE,0.241136578159493,FALSE,NA,2
"PKN1",FALSE,NA,TRUE,NA,FALSE,NA,TRUE,0.246211061501323,2
"ABL2",FALSE,NA,TRUE,NA,TRUE,0.325312564767718,FALSE,NA,2
"CDK5",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"ABL1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"MARK2",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"MARK1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"CSNK1G1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PRKACA",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"CAPN1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PPP5C",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"CDK5_CDK5R1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PRKAA1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"TTBK1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PINK1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"MARCHF7",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"CAMK2A",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"TTK",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PHKG1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"NUAK1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"EIF2AK2",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"MARK4",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PRKCE",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"UBE4B",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PRKCA",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"CHEK2",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"MAPK14",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"SGK1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"LRRK2",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"SRPK2",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PPP1CA",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PPP1CB",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PPP2CA",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PPP2CB",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PPP3CA",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PPP3CB",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PPP3CC",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"CDK1",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"CDK2",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PHKG2",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PRKACB",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
"PRKCD",FALSE,NA,TRUE,NA,FALSE,NA,FALSE,NA,1
